사업구분명,단위사업중분류명,m,count
기업지원,기술교육,7,258
기업지원,기술교육,8,244
기업지원,기술교육,9,312
기업지원,기술교육,10,281
기업지원,기술교육,11,311
기업지원,기술교육,12,301
기업지원,기술지도,1,2
기업지원,기술지도,2,6
기업지원,기술지도,5,1
기업지원,기술지도,6,3
기업지원,기술지도,7,51
기업지원,기술지도,8,10
기업지원,기술지도,9,1
기업지원,기술지도,10,10
기업지원,기술지도,11,6
기업지원,기술지도,12,1
기업지원,기업 납품시험,12,1
기업지원,디지털산업 일반시험,1,14
기업지원,디지털산업 일반시험,2,5
기업지원,디지털산업 일반시험,3,24
기업지원,디지털산업 일반시험,4,20
기업지원,디지털산업 일반시험,5,10
기업지원,디지털산업 일반시험,6,22
기업지원,디지털산업 일반시험,7,40
기업지원,디지털산업 일반시험,8,21
기업지원,디지털산업 일반시험,9,18
기업지원,디지털산업 일반시험,10,24
기업지원,디지털산업 일반시험,11,13
기업지원,디지털산업 일반시험,12,35
기업지원,방폭기기 시험,1,2
기업지원,방폭기기 시험,2,1
기업지원,방폭기기 시험,12,6
기업지원,소음진동내지진,1,1
기업지원,소음진동내지진,2,2
기업지원,소음진동내지진,3,1
기업지원,신뢰성평가,5,2
기업지원,신뢰성평가,6,6
기업지원,신뢰성평가,10,1
기업지원,신재생에너지,1,1
기업지원,신재생에너지,4,1
기업지원,에너지기술,1,2
기업지원,에너지기술,2,1
기업지원,에너지기술,8,1
기업지원,에너지기술,10,1
기업지원,에너지기술,11,4
기업지원,에너지기술,12,2
기업지원,에너지효율시험,1,41
기업지원,에너지효율시험,2,33
기업지원,에너지효율시험,3,52
기업지원,에너지효율시험,4,47
기업지원,에너지효율시험,5,28
기업지원,에너지효율시험,6,27
기업지원,에너지효율시험,7,40
기업지원,에너지효율시험,8,28
기업지원,에너지효율시험,9,6
기업지원,에너지효율시험,10,14
기업지원,에너지효율시험,11,14
기업지원,에너지효율시험,12,31
기업지원,외국인증시험,1,323
기업지원,외국인증시험,2,263
기업지원,외국인증시험,3,349
기업지원,외국인증시험,4,258
기업지원,외국인증시험,5,261
기업지원,외국인증시험,6,212
기업지원,외국인증시험,7,168
기업지원,외국인증시험,8,230
기업지원,외국인증시험,9,152
기업지원,외국인증시험,10,124
기업지원,외국인증시험,11,216
기업지원,외국인증시험,12,291
기업지원,일반시험,1,53
기업지원,일반시험,2,54
기업지원,일반시험,3,84
기업지원,일반시험,4,54
기업지원,일반시험,5,22
기업지원,일반시험,6,65
기업지원,일반시험,7,43
기업지원,일반시험,8,68
기업지원,일반시험,9,104
기업지원,일반시험,10,57
기업지원,일반시험,11,61
기업지원,일반시험,12,63
기업지원,재료시험,1,20
기업지원,재료시험,2,24
기업지원,재료시험,3,2
기업지원,재료시험,6,2
기업지원,재료시험,8,2
기업지원,재료시험,10,1
기업지원,재료시험,12,8
